,id,artist_name,track_name,album_name,artist_genre,release_date,artist_popularity,track_popularity,artist_followers,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,3nqQXoyQOWXiESFLlDF1hG,Sam Smith,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),"['dance pop', 'pop', 'uk pop']",2022-09-22,89,99,21138669,156943,0.472,2,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.121,156943,4
1,1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,SOS,"['pop', 'r&b']",2022-12-08,94,86,9525089,153947,0.735,8,-5.747,0.0391,0.0521,0.144,0.161,0.418,88.98,153947,4
2,1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,About Damn Time,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",2022-04-14,79,85,5263886,191822,0.743,10,-6.305,0.0656,0.0995,0.0,0.335,0.722,108.966,191822,4
3,4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,Gemini Rights,['afrofuturism'],2022-07-15,85,87,2694509,232067,0.494,1,-7.093,0.0355,0.613,5.8e-05,0.402,0.7,168.946,232067,4
4,7jHi6opPq439ruUlfH90Aw,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,['rap'],2022-12-02,92,74,3457729,221520,0.608,1,-5.985,0.0474,0.41,0.0,0.0784,0.152,97.95,221520,4
5,4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,As It Was,['pop'],2022-03-31,90,93,25087969,167303,0.731,6,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4
6,0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Midnights,['pop'],2022-10-21,99,96,64643352,200690,0.643,4,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,97.008,200690,4
7,5HCyWlXZPP0y6Gqq8TgA20,The Kid LAROI,STAY (with Justin Bieber),STAY (with Justin Bieber),"['australian hip hop', 'pop']",2021-07-09,82,87,4143512,141806,0.764,1,-5.484,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4
8,0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Made You Look,Takin' It Back,"['dance pop', 'hip pop', 'pop']",2022-10-21,86,94,12461941,134256,0.525,10,-3.562,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,134256,4
9,7kOEAYqtX7OjQhNxQT4bPI,Mark Mendy,Talk To Me,Talk To Me,"['covertronica', 'pop dance', 'tropical house']",2021-05-07,56,53,10464,147840,0.631,1,-5.867,0.0654,0.231,5.94e-05,0.145,0.802,123.959,147840,4
10,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")","['piano rock', 'pop']",2022-05-13,85,94,14753232,148486,0.797,0,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486,4
11,1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,RENAISSANCE,"['dance pop', 'pop', 'r&b']",2022-07-29,87,92,33041053,225389,0.689,7,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,225389,4
12,4C6Uex2ILwJi9sZXRdmqXp,Nicki Minaj,Super Freaky Girl,Super Freaky Girl,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",2022-08-12,87,86,26922557,170977,0.891,2,-2.653,0.241,0.0645,1.77e-05,0.309,0.912,133.01,170977,4
13,6zSpb8dQRaw0M1dK8PBwQz,Elton John,Cold Heart - PNAU Remix,Cold Heart (PNAU Remix),"['glam rock', 'mellow gold', 'piano rock']",2021-08-13,86,86,10633547,202735,0.798,1,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735,4
14,0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,MONTERO,"['lgbtq+ hip hop', 'pop']",2021-09-17,83,85,12169783,143901,0.846,1,-4.51,0.22,0.00614,0.0,0.0486,0.546,87.981,143901,4
15,4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,SOUR,['pop'],2021-05-21,84,86,22875818,178147,0.664,9,-5.044,0.154,0.335,0.0,0.0849,0.688,166.928,178147,4
16,5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Midnights,['pop'],2022-10-21,99,89,64643352,202396,0.436,10,-10.489,0.08,0.258,0.000573,0.157,0.0976,96.985,202396,4
17,0VGEXZO5nkh701P96U8Rer,FLO,Cardboard Box - Happi Remix,Cardboard Box (Happi Remix),"['pop', 'r&b']",2022-10-07,62,64,128667,150638,0.754,10,-3.519,0.16,0.456,0.0,0.204,0.764,125.176,150638,5
18,1xK59OXxi2TAAAbmZK0kBL,d4vd,Romantic Homicide,Romantic Homicide,['bedroom pop'],2022-07-20,81,93,450995,132631,0.544,6,-10.613,0.0299,0.453,0.00805,0.322,0.216,132.052,132631,4
19,6zJejIfVYLgjud3lTk4DLB,Rosa Linn,SNAP,SNAP PACK,['alt z'],2022-07-15,77,51,171477,179551,0.636,0,-8.198,0.0638,0.107,9.9e-06,0.447,0.525,170.01,179551,4
20,0mBP9X2gPCuapvpZ7TGDk3,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),"['dance pop', 'pop', 'viral pop']",2022-06-24,84,86,18783739,154487,0.592,2,-4.898,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,154487,4
21,7ycxue6lnew5o8fUgqqJWQ,Nick De La Hoyde,Christmas Kind of Love,Christmas Kind of Love,[],2022-12-01,35,45,8169,145627,0.861,7,-4.779,0.0519,0.00867,0.000566,0.177,0.596,137.991,145627,4
22,3USxtqRwSYz57Ewm6wWRMp,Glass Animals,Heat Waves,Dreamland,"['gauze pop', 'indietronica', 'shiver pop']",2020-08-07,79,81,3550042,238805,0.525,11,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4
23,0O6u0VJ46W86TxN9wgyqDj,Post Malone,I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,"['dfw rap', 'melodic rap', 'rap']",2022-06-03,89,88,39203152,192841,0.67,5,-6.009,0.0751,0.121,0.0,0.121,0.472,100.964,192841,4
24,6mFOjnwU4Naf5dphwwhbqx,Kid Travis,Gimme,Gimme,"['chill r&b', 'pop']",2022-11-25,58,47,92058,185806,0.6,10,-8.28,0.0434,0.005,0.00197,0.34,0.696,155.039,185806,4
25,3RfTeIrWS8LNrfHYwechtt,Nicky Youre,Sunroof,Sunroof,['pop'],2021-11-26,73,7,94588,163026,0.716,10,-5.11,0.0404,0.35,0.0,0.15,0.841,131.43,163026,4
26,3oqyYhGHlZeoWXVK5XRfVK,Jawny BadLuck,eyEs 4 you,KLD,[],2022-06-10,29,45,1701,151000,0.753,11,-5.08,0.0954,0.288,0.0,0.0751,0.548,117.953,151000,4
27,0QBzMgT7NIeoCYy3sJCof1,Camila Cabello,Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),"['dance pop', 'pop', 'post-teen pop']",2022-03-04,83,83,28882249,206071,0.697,8,-6.377,0.0401,0.182,0.0,0.333,0.956,94.996,206071,4
28,6G8xvLFNkXy3HM5EbQI6c8,lovelytheband,sail away,sail away,"['indie poptimism', 'modern alternative rock', 'modern rock']",2022-06-24,62,71,375276,179000,0.835,2,-4.655,0.029,0.25,0.0,0.0912,0.955,120.019,179000,4
29,6bQfNiqyCX7UaQSvVVGo4I,Ed Sheeran,Shivers,Shivers,"['pop', 'uk pop']",2021-09-10,91,4,106725824,207853,0.859,2,-2.724,0.0856,0.281,0.0,0.0424,0.822,141.02,207853,4
30,4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,abcdefu,['modern alternative pop'],2021-08-13,70,85,548505,168602,0.54,4,-5.692,0.0493,0.299,0.0,0.367,0.415,121.932,168602,4
31,1HhNoOuqm1a5MXYEgAFl8o,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,Mercury - Act 1,"['modern rock', 'rock']",2021-09-03,89,24,44280703,173381,0.783,11,-4.424,0.266,0.237,0.0,0.434,0.555,77.011,173381,4
32,27NovPIUIRrOZoCHxABJwK,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),"['lgbtq+ hip hop', 'pop']",2021-07-23,83,84,12169783,212000,0.704,3,-7.409,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000,4
33,1bDbXMyjaUIooNwFE9wn0N,Drake,Rich Flex,Her Loss,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",2022-11-04,97,95,70164923,239360,0.52,11,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,153.15,239360,3
34,3tjFYV6RSFtuktYl3ZtYcq,24kGoldn,Mood (feat. iann dior),Mood (feat. iann dior),"['cali rap', 'pop', 'pop rap', 'rap']",2020-07-24,74,10,1934052,140526,0.722,7,-3.558,0.0369,0.221,0.0,0.272,0.756,90.989,140526,4
35,463CkQjx2Zk1yXoBuierM9,Dua Lipa,Levitating (feat. DaBaby),Levitating (feat. DaBaby),"['dance pop', 'pop', 'uk pop']",2020-10-01,88,76,37819206,203064,0.825,6,-3.787,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4
36,6PQ88X9TkUIAUIZJHW2upE,Ed Sheeran,Bad Habits,Bad Habits,"['pop', 'uk pop']",2021-06-25,91,21,106725824,231041,0.897,11,-3.712,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,231041,4
37,7e7Z1IBn71QUFLFkdyBXJf,Mark Mendy,Emotions,Emotions,"['covertronica', 'pop dance', 'tropical house']",2021-07-30,56,57,10464,172381,0.832,5,-5.386,0.294,0.0529,0.0,0.4,0.742,125.915,172381,4
38,6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,Planet Her,"['dance pop', 'pop']",2021-06-25,88,87,23644417,172627,0.764,5,-4.175,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,4
39,37BZB0z9T8Xu7U3e65qxFy,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),"['canadian contemporary r&b', 'canadian pop', 'pop']",2021-04-23,96,83,55040409,191014,0.825,0,-4.645,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014,4
40,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,I Love You.,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",2013-04-19,85,92,11118310,240400,0.807,10,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4
41,6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,Justice,"['canadian pop', 'pop']",2021-03-19,92,87,68535696,153190,0.741,2,-5.569,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190,4
42,3qaH5D6Om5rEMzt4vOxcfE,Mark Mendy,Rubberband,Rubberband,"['covertronica', 'pop dance', 'tropical house']",2022-03-17,56,52,10464,146000,0.754,6,-5.378,0.0897,0.091,0.0,0.15,0.885,120.046,146000,4
43,0sf12qNH5qcw8qpgymFOqD,The Weeknd,Blinding Lights,Blinding Lights,"['canadian contemporary r&b', 'canadian pop', 'pop']",2019-11-29,96,18,55040409,201573,0.796,1,-4.075,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573,4
